signal_date,ts_code,name,score,patterns,entry_close,ret_1d,ret_3d,ret_5d
20260710,688355.SH,明志科技,56.5,趋势强势,21.0,,,
20260710,600316.SH,洪都航空,56.0,趋势强势,28.61,,,
20260710,301397.SZ,溯联股份,55.9,趋势强势,37.28,,,
20260710,603707.SH,健友股份,55.9,趋势强势,7.49,,,
20260710,002077.SZ,大港股份,55.8,趋势强势,19.17,,,
20260710,002349.SZ,精华制药,55.7,趋势强势,6.57,,,
20260710,603501.SH,豪威集团,55.6,趋势强势,103.21,,,
20260710,688591.SH,泰凌微,55.6,趋势强势,34.66,,,
20260710,300717.SZ,华信新材,55.5,趋势强势,24.1,,,
20260710,002603.SZ,以岭药业,55.4,趋势强势,15.51,,,
20260710,002174.SZ,游族网络,55.2,趋势强势,12.74,,,
20260710,002536.SZ,飞龙股份,55.1,趋势强势,52.84,,,
20260710,301257.SZ,普蕊斯,55.1,趋势强势,50.18,,,
20260710,301316.SZ,慧博云通,55.1,趋势强势,43.7,,,
20260710,001201.SZ,东瑞股份,55.0,趋势强势,11.75,,,
20260710,002755.SZ,奥赛康,55.0,趋势强势,14.75,,,
